Z    N            M
23   26      -48.04
24   25      -45.05
25   24      -37.25
26   23      -24.79
27   22       -9.54
28   21        8.03
29   20       30.60
30   19       57.18
12   38      147.78
13   37      114.90
14   36       79.42
15   35       54.36
16   34       27.34
17   33        8.93
18   32      -11.76
19   31      -24.26
20   30      -38.73
21   29      -43.92
22   28      -51.49
23   27      -49.09
24   26      -50.16
25   25      -42.03
26   24      -34.35
27   23      -17.43
28   22       -3.91
29   21       19.72
30   20       41.14
12   39      160.63
13   38      125.85
14   37       91.05
15   36       63.00
16   35       36.90
17   34       15.23
18   33       -4.88
19   32      -20.49
20   31      -34.12
21   30      -42.88
22   29      -49.42
23   28      -52.49
24   27      -51.74
25   26      -47.87
26   25      -39.88
27   24      -27.55
28   23      -12.41
29   22        7.27
30   21       29.70
32   19       85.35
12   40      171.74
13   39      137.07
14   38       99.56
15   37       72.52
16   36       43.53
17   35       22.97
18   34        0.16
19   33      -14.72
20   32      -31.45
21   31      -39.29
22   30      -49.37
23   29      -51.31
24   28      -55.94
25   27      -50.19
26   26      -48.19
27   25      -33.88
28   24      -23.28
29   23       -2.22
30   22       16.27
32   20       67.83
12   41      184.95
13   40      147.36
14   39      111.65
15   38       81.78
16   37       53.71
17   36       30.05
18   35        8.27
19   34       -9.99
20   33      -25.93
21   32      -37.08
22   31      -46.18
23   30      -51.84
24   29      -55.27
25   28      -55.02
26   27      -51.09
27   26      -42.78
28   25      -30.26
29   24      -13.65
30   23        6.17
31   22       29.16
32   21       54.73
12   42      196.27
13   41      159.11
14   40      120.36
15   39       91.68
16   38       60.87
17   37       38.32
18   36       13.54
19   35       -3.08
20   34      -22.35
21   33      -32.62
22   32      -45.01
23   31      -49.58
24   30      -56.71
25   29      -55.18
26   28      -56.63
27   27      -48.10
28   26      -39.83
29   25      -21.53
30   24       -6.14
31   23       18.03
32   22       39.79
13   42      170.73
14   41      132.42
15   40      101.20
16   39       71.50
17   38       46.01
18   37       22.25
19   36        2.45
20   35      -16.11
21   34      -29.46
22   33      -40.91
23   32      -48.93
24   31      -54.91
25   30      -57.26
26   29      -57.37
27   28      -54.31
28   27      -45.81
29   26      -31.70
30   25      -14.68
31   24        5.21
32   23       28.10
34   21       82.71
14   42      142.55
15   41      111.78
16   40       78.86
17   39       54.66
18   38       28.06
19   37        9.45
20   36      -11.78
21   35      -24.31
22   34      -38.81
23   33      -45.79
24   32      -55.20
25   31      -56.31
26   30      -60.27
27   29      -55.79
28   28      -54.32
29   27      -38.50
30   26      -25.64
31   25       -4.27
32   24       14.36
34   22       66.26
14   43      154.38
