Z    N            M
36   83       85.39
37   82       60.98
38   81       39.48
39   80       20.21
40   79        1.69
41   78      -14.00
42   77      -29.02
43   76      -41.88
44   75      -53.77
45   74      -63.41
46   73      -72.16
47   72      -78.66
48   71      -84.27
49   70      -87.80
50   69      -90.24
51   68      -89.46
52   67      -87.63
53   66      -83.81
54   65      -78.77
55   64      -72.44
56   63      -64.69
57   62      -55.18
58   61      -44.12
59   60      -31.34
60   59      -16.03
61   58        1.88
62   57       21.41
63   56       42.72
32   88      213.83
33   87      182.48
34   86      150.23
35   85      122.67
36   84       94.00
37   83       70.08
38   82       44.83
39   81       26.46
40   80        6.18
41   79       -8.61
42   78      -25.37
43   77      -37.25
44   76      -51.20
45   75      -59.78
46   74      -70.53
47   73      -75.88
48   72      -84.02
49   71      -86.07
50   70      -91.00
51   69      -88.83
52   68      -89.40
53   67      -84.27
54   66      -81.69
55   65      -73.94
56   64      -68.93
57   63      -58.02
58   62      -49.83
59   61      -35.56
60   60      -24.12
61   59       -4.73
62   58       11.85
63   57       34.53
64   56       54.53
33   88      193.51
34   87      161.55
35   86      132.53
36   85      104.27
37   84       78.77
38   83       54.04
39   82       31.91
40   81       12.53
41   80       -4.11
42   79      -19.95
43   78      -33.65
44   77      -46.61
45   76      -57.31
46   75      -66.99
47   74      -74.65
48   73      -81.14
49   72      -85.78
50   71      -89.25
51   70      -89.60
52   69      -88.80
53   68      -86.29
54   67      -82.39
55   66      -77.07
56   65      -70.73
57   64      -62.62
58   63      -53.01
59   62      -41.67
60   61      -28.73
61   60      -13.21
62   59        4.83
63   58       24.61
64   57       45.98
34   88      171.61
35   87      142.95
36   86      113.22
37   85       88.18
38   84       61.88
39   83       40.32
40   82       17.24
41   81        1.51
42   80      -16.19
43   79      -28.94
44   78      -43.72
45   77      -53.40
46   76      -65.20
47   75      -71.76
48   74      -80.56
49   73      -83.75
50   72      -89.78
51   71      -88.58
52   70      -90.29
53   69      -86.22
54   68      -84.92
55   67      -78.04
56   66      -74.35
57   65      -64.88
58   64      -58.07
59   63      -45.29
60   62      -35.27
61   61      -19.11
62   60       -4.07
63   59       17.13
64   58       35.60
65   57       60.08
34   89      183.23
35   88      153.14
36   87      123.79
37   86       97.22
38   85       71.41
39   84       48.22
40   83       25.74
41   82        6.27
42   81      -10.52
43   80      -25.20
44   79      -39.03
45   78      -50.59
46   77      -61.36
47   76      -70.10
48   75      -77.78
49   74      -83.09
50   73      -87.70
51   72      -89.05
52   71      -89.23
53   70      -87.75
54   69      -85.21
55   68      -80.71
56   67      -75.58
57   66      -68.83
58   65      -60.65
59   64      -50.73
60   63      -39.25
61   62      -26.07
62   61      -10.38
63   60        7.87
64   59       27.74
65   58       49.38
34   90      193.60
35   89      163.84
36   88      133.06
37   87      106.92
38   86       79.58
39   85       56.94
40   84       32.83
41   83       14.02
42   82       -6.51
43   81      -20.25
44   80      -36.01
45   79      -46.58
46   78      -59.25
47   77      -66.92
48   76      -76.78
49   75      -80.93
50   74      -87.89
51   73      -87.71
52   72      -90.42
53   71      -87.37
54   70      -87.27
55   69      -81.49
56   68      -78.60
57   67      -70.53
58   66      -65.07
59   65      -53.75
60   64      -45.12
61   63      -30.46
62   62      -18.59
63   61        1.12
64   60       18.06
65   59       41.05
66   58       61.39
34   91      205.50
35   90      174.35
36   89      143.92
37   88      116.30
38   87       89.41
39   86       65.18
40   85       41.64
41   84       21.16
42   83        1.31
43   82      -16.23
44   81      -31.04
45   80      -43.62
46   79      -55.28
47   78      -64.91
48   77      -73.69
49   76      -80.33
50   75      -85.65
51   74      -87.80
52   73      -89.01
53   72      -88.54
54   71      -86.90
55   70      -83.79
56   69      -79.28
57   68      -73.84
58   67      -67.05
59   66      -58.50
60   65      -48.46
61   64      -36.71
62   63      -23.35
63   62       -7.46
64   61       10.92
65   60       31.03
66   59       52.71
34   92      216.16
35   91      185.31
36   90      153.49
37   89      126.28
38   88       97.91
39   87       74.18
40   86       49.06
41   85       29.20
42   84        7.70
43   83       -9.11
44   82      -27.74
45   81      -39.34
46   80      -53.01
47   79      -61.62
48   78      -72.36
49   77      -77.88
50   76      -85.67
51   75      -86.31
52   74      -89.83
53   73      -87.82
54   72      -88.74
55   71      -83.91
56   70      -82.06
57   69      -74.99
58   68      -70.82
59   67      -60.92
60   66      -53.65
61   65      -40.47
62   64      -30.01
63   63      -13.46
64   62        1.95
65   61       23.45
66   60       42.26
67   59       67.02
35   92      196.13
36   91      164.62
37   90      135.97
38   89      108.02
39   88       82.75
40   87       58.17
41   86       36.68
42   85       15.83
43   84       -2.69
44   83      -20.56
45   82      -36.08
46   81      -48.76
47   80      -59.44
48   79      -69.14
49   78      -76.69
50   77      -83.35
51   76      -86.19
52   75      -88.23
53   74      -88.59
54   73      -87.98
55   72      -85.77
56   71      -82.50
57   70      -77.66
58   69      -72.22
59   68      -65.00
60   67      -56.37
61   66      -46.00
62   65      -34.10
63   64      -20.51
64   63       -4.45
65   62       14.13
66   61       34.32
67   60       56.26
34   94      239.26
35   93      207.33
36   92      174.49
37   91      146.20
38   90      116.81
39   89       92.03
40   88       65.90
41   87       45.01
42   86       22.54
43   85        4.73
44   84      -14.85
45   83      -29.55
46   82      -46.21
47   81      -55.86
48   80      -67.63
49   79      -74.12
50   78      -82.81
51   77      -84.40
52   76      -88.85
53   75      -87.69
54   74      -89.43
55   73      -85.66
56   72      -84.84
57   71      -78.42
58   70      -75.35
59   69      -66.84
60   68      -60.89
61   67      -49.14
62   66      -40.05
63   65      -25.00
64   64      -12.71
65   63        7.33
66   62       24.60
67   61       47.88
68   60       68.53
35   94      218.43
36   93      185.88
37   92      156.19
38   91      127.20
39   90      100.91
40   89       75.28
41   88       52.81
42   87       30.96
43   86       11.48
44   85       -7.36
45   84      -23.82
46   83      -39.63
47   82      -53.37
48   81      -64.12
49   80      -72.73
50   79      -80.34
51   78      -84.15
52   77      -86.90
53   76      -88.22
54   75      -88.46
55   74      -87.10
56   73      -84.74
57   72      -80.97
58   71      -76.18
59   70      -70.25
60   69      -62.99
61   68      -53.98
62   67      -43.49
63   66      -31.31
64   65      -17.54
65   64       -1.28
66   63       17.43
67   62       37.84
68   61       59.81
34   96      262.85
35   95      229.87
36   94      196.02
37   93      166.67
38   92      136.28
39   91      110.44
40   90       83.32
41   89       61.41
42   88       37.98
43   87       19.17
44   86       -1.33
45   85      -17.01
46   84      -34.56
47   83      -47.41
48   82      -62.31
49   81      -69.87
50   80      -79.62
51   79      -82.22
52   78      -87.17
53   77      -86.98
54   76      -89.68
55   75      -86.78
56   74      -86.81
57   73      -81.34
58   72      -78.84
59   71      -71.53
60   70      -66.84
61   69      -56.50
62   68      -48.75
63   67      -35.14
64   66      -24.24
65   65       -7.31
66   64        8.45
67   63       30.25
68   62       49.37
69   61       74.38
35   96      241.24
36   95      207.65
37   94      176.95
38   93      146.92
39   92      119.62
40   91       92.97
41   90       69.52
42   89       46.68
43   88       26.25
44   87        6.44
45   86      -10.95
46   85      -27.70
47   84      -42.33
48   83      -56.31
49   82      -68.17
50   81      -76.85
51   80      -81.53
52   79      -85.27
53   78      -87.12
54   77      -88.34
55   76      -87.95
56   75      -86.47
57   74      -83.43
58   73      -79.51
59   72      -74.42
60   71      -68.35
61   70      -60.64
62   69      -51.54
63   68      -40.73
64   67      -28.39
65   66      -14.38
66   65        2.05
67   64       20.95
68   63       41.44
69   62       63.65
34   98      286.92
35   97      252.90
36   96      218.05
37   95      187.67
38   94      156.28
39   93      129.39
40   92      101.29
41   91       78.37
42   90       54.00
43   89       34.20
44   88       12.78
45   87       -3.87
46   86      -22.31
47   85      -36.09
48   84      -51.85
49   83      -62.75
50   82      -75.82
51   81      -79.29
52   80      -85.11
53   79      -85.70
54   78      -89.18
55   77      -87.27
56   76      -88.28
57   75      -83.70
58   74      -82.06
59   73      -75.09
60   72      -71.68
61   71      -62.56
62   70      -56.10
63   69      -43.92
64   68      -34.37
65   67      -18.90
66   66       -6.19
67   65       14.15
68   64       31.76
69   63       55.30
70   62       76.25
35   98      264.53
36   97      229.92
37   96      198.21
38   95      167.16
39   94      138.86
40   93      111.19
41   92       86.78
42   91       62.96
43   90       41.58
44   89       20.82
45   88        2.51
46   87      -15.17
47   86      -30.69
48   85      -45.57
49   84      -58.28
50   83      -70.36
51   82      -78.77
52   81      -82.87
53   80      -85.83
54   79      -87.61
55   78      -88.02
56   77      -87.53
57   76      -85.49
58   75      -82.34
59   74      -77.80
60   73      -72.55
61   72      -66.15
62   71      -58.27
63   70      -48.78
64   69      -37.85
65   68      -25.22
66   67      -11.04
67   66        5.58
68   65       24.61
69   64       45.31
70   63       67.58
35   99      276.40
36   98      240.57
37   97      209.15
38   96      176.78
39   95      148.87
40   94      119.78
41   93       95.87
42   92       70.56
43   91       49.79
44   90       27.45
45   89        9.85
46   88       -9.48
47   87      -24.19
48   86      -40.80
49   85      -52.59
50   84      -66.48
51   83      -73.65
52   82      -82.37
53   81      -84.09
54   80      -88.22
55   79      -87.13
56   78      -88.94
57   77      -85.38
58   76      -84.74
59   75      -78.52
60   74      -75.26
61   73      -67.45
62   72      -62.28
63   71      -51.35
64   70      -43.10
65   69      -29.08
66   68      -17.73
67   67       -0.43
68   66       15.69
69   65       37.77
70   64       57.21
36   99      252.65
37   98      219.96
38   97      187.90
39   96      158.61
40   95      129.94
41   94      104.56
42   93       79.78
43   92       57.46
44   91       35.75
45   90       16.53
46   89       -2.07
47   88      -18.48
48   87      -34.24
49   86      -47.81
50   85      -60.74
51   84      -69.66
52   83      -77.63
53   82      -83.62
54   81      -86.51
55   80      -87.61
56   79      -87.95
57   78      -86.73
58   77      -84.59
59   76      -80.95
60   75      -76.28
61   74      -70.35
62   73      -63.80
63   72      -55.63
64   71      -45.94
65   70      -34.65
66   69      -21.89
67   68       -7.47
68   67        9.32
69   66       28.54
70   65       49.34
36   100     263.54
37   99      231.11
38   98      197.77
39   97      168.85
40   96      138.79
41   95      113.89
42   94       87.65
43   93       65.91
44   92       42.66
45   91       24.12
46   90        3.90
47   89      -11.72
48   88      -29.18
49   87      -41.85
50   86      -56.55
51   85      -64.57
52   84      -74.49
53   83      -79.49
54   82      -86.54
55   81      -86.36
56   80      -89.09
57   79      -86.37
58   78      -86.56
59   77      -81.38
60   76      -79.14
61   75      -71.46
62   74      -67.12
63   73      -57.55
64   72      -50.61
65   71      -37.86
66   70      -27.83
67   69      -11.98
68   68        1.15
69   67       21.80
70   66       39.75
37   100     242.17
38   99      209.11
39   98      178.85
40   97      149.18
41   96      122.86
42   95       97.12
43   94       73.87
44   93       51.22
45   92       31.09
46   91       11.58
47   90       -5.71
48   89      -22.36
49   88      -36.77
50   87      -50.56
51   86      -60.47
52   85      -69.47
53   84      -76.46
54   83      -82.51
55   82      -86.66
56   81      -87.70
57   80      -87.42
58   79      -86.14
59   78      -83.34
60   77      -79.59
61   76      -74.49
62   75      -68.39
63   74      -61.12
64   73      -52.77
65   72      -42.83
66   71      -31.32
67   70      -18.25
68   69       -3.68
69   68       13.31
70   67       32.67
37   101     253.53
38   100     219.22
39   99      189.30
40   98      158.29
41   97      132.42
42   96      105.25
43   95       82.55
44   94       58.41
45   93       38.92
46   92       17.83
47   91        1.29
48   90      -17.01
49   89      -30.57
50   88      -46.08
51   87      -55.12
52   86      -66.02
53   85      -72.06
54   84      -80.10
55   83      -83.21
56   82      -88.46
57   81      -86.68
58   80      -87.82
59   79      -83.51
60   78      -82.13
61   77      -75.37
62   76      -71.56
63   75      -62.77
64   74      -56.74
65   73      -45.36
66   72      -36.67
67   71      -22.11
68   70      -10.30
69   69        7.35
70   68       23.84
37   102     264.82
38   101     230.78
39   100     199.56
40   99      168.91
41   98      141.65
42   97      114.96
43   96       90.79
44   95       67.21
45   94       46.17
46   93       25.75
47   92        7.59
48   91       -9.94
49   90      -25.19
50   89      -39.82
51   88      -50.72
52   87      -60.73
53   86      -68.71
54   85      -75.78
55   84      -80.93
56   83      -85.13
57   82      -87.30
58   81      -86.97
59   80      -85.14
60   79      -82.27
61   78      -77.93
62   77      -72.71
63   76      -66.08
64   75      -58.58
65   74      -49.60
66   73      -39.45
67   72      -27.75
68   71      -14.45
69   70        0.39
70   69       17.54
38   102     241.13
39   101     210.22
40   100     178.26
41   99      151.43
42   98      123.35
43   97       99.70
44   96       74.66
45   95       54.24
46   94       32.27
47   93       14.83
48   92       -4.32
49   91      -18.75
50   90      -35.07
51   89      -45.12
52   88      -56.99
53   87      -64.05
54   86      -73.06
55   85      -77.20
56   84      -83.44
57   83      -84.52
58   82      -88.24
59   81      -84.90
60   80      -84.49
61   79      -78.63
62   78      -75.70
63   77      -67.49
64   76      -62.28
65   75      -51.80
66   74      -44.07
67   73      -30.90
68   72      -20.45
69   71       -4.09
70   70        9.48
72   68       48.56
38   103     252.89
39   102     220.72
40   101     189.10
41   100     160.92
42   99      133.28
43   98      108.20
44   97       83.70
45   96       61.76
46   95       40.44
47   94       21.40
48   93        3.00
49   92      -13.10
50   91      -28.57
51   90      -40.43
52   89      -51.44
53   88      -60.40
54   87      -68.47
55   86      -74.60
56   85      -79.82
57   84      -83.18
58   83      -85.40
59   82      -86.08
60   81      -84.19
61   80      -80.84
62   79      -76.41
63   78      -70.66
64   77      -63.76
65   76      -55.71
66   75      -46.48
67   74      -35.80
68   73      -23.87
69   72      -10.42
70   71        4.69
72   69       41.58
38   104     263.46
39   103     231.58
40   102     198.70
41   101     170.91
42   100     141.93
43   99      117.34
44   98       91.40
45   97       70.06
46   96       47.22
47   95       28.87
48   94        8.88
49   93       -6.43
50   92      -23.55
51   91      -34.60
52   90      -47.41
53   89      -55.48
54   88      -65.45
55   87      -70.61
56   86      -77.81
57   85      -80.13
58   84      -84.61
59   83      -83.96
60   82      -85.97
61   81      -81.11
62   80      -79.18
63   79      -71.79
64   78      -67.33
65   77      -57.57
66   76      -50.76
67   75      -38.56
68   74      -29.14
69   73      -14.19
70   72       -1.97
72   70       32.88
38   105     275.43
39   104     242.32
40   103     209.75
41   102     180.65
42   101     152.09
43   100     126.10
44   99      100.68
45   98       77.85
46   97       55.62
47   96       35.72
48   95       16.44
49   94       -0.49
50   93      -16.81
51   92      -29.62
52   91      -41.61
53   90      -51.53
54   89      -60.60
55   88      -67.70
56   87      -73.91
57   86      -78.26
58   85      -81.67
59   84      -83.13
60   83      -83.83
61   82      -82.84
62   81      -79.42
63   80      -74.58
64   79      -68.73
65   78      -61.34
66   77      -52.89
67   76      -43.07
68   75      -32.12
69   74      -19.75
70   73       -6.03
71   72        9.16
72   71       26.67
38   106     286.22
39   105     253.38
40   104     219.58
41   103     190.85
42   102     160.98
43   101     135.45
44   100     108.64
45   99       86.37
46   98       62.66
47   97       43.41
48   96       22.59
49   95        6.40
50   94      -11.53
51   93      -23.56
52   92      -37.31
53   91      -46.37
54   90      -57.29
55   89      -63.45
56   88      -71.60
57   87      -74.93
58   86      -80.37
59   85      -80.72
60   84      -83.71
61   83      -81.36
62   82      -81.73
63   81      -75.36
64   80      -71.93
65   79      -63.13
66   78      -57.06
67   77      -45.75
68   76      -37.26
69   75      -23.27
70   74      -12.16
71   73        4.77
72   72       18.60
39   106     264.35
40   105     230.84
41   104     200.84
42   103     171.36
43   102     144.47
44   101     118.14
45   100      94.42
46   99       71.30
47   98       50.53
48   97       30.38
49   96       12.60
50   95       -4.56
51   94      -18.31
52   93      -31.26
53   92      -42.13
54   91      -52.17
55   90      -60.23
56   89      -67.43
57   88      -72.74
58   87      -77.15
59   86      -79.76
60   85      -81.25
61   84      -81.24
62   83      -80.26
63   82      -77.66
64   81      -72.73
65   80      -66.51
66   79      -59.02
67   78      -50.14
68   77      -40.16
69   76      -28.83
70   75      -16.16
71   74       -1.87
72   73       13.65
40   106     240.89
41   105     211.24
42   104     180.48
43   103     154.04
44   102     126.34
45   101     103.16
46   100      78.59
47   99       58.44
48   98       36.78
49   97       19.72
50   96        0.98
51   95      -12.02
52   94      -26.69
53   93      -36.73
54   92      -48.58
55   91      -55.75
56   90      -64.82
57   89      -69.14
58   88      -75.53
59   87      -77.08
60   86      -80.82
61   85      -79.47
62   84      -80.80
63   83      -76.81
64   82      -75.56
65   81      -67.71
66   80      -62.79
67   79      -52.47
68   78      -44.91
69   77      -32.07
70   76      -22.06
71   75       -6.23
72   74        6.63
74   72       42.20
40   107     252.36
41   106     221.47
42   105     191.08
43   104     163.30
44   103     136.07
45   102     111.47
46   101      87.46
47   100      65.82
48   99       44.80
49   98       26.18
50   97        8.18
51   96       -6.50
52   95      -20.40
53   94      -32.21
54   93      -43.34
55   92      -52.44
56   91      -60.61
57   90      -66.77
58   89      -72.03
59   88      -75.60
60   87      -78.26
61   86      -79.01
62   85      -79.01
63   84      -77.37
64   83      -74.75
65   82      -70.57
66   81      -64.25
67   80      -56.44
68   79      -47.44
69   78      -37.07
70   77      -25.54
71   76      -12.45
72   75        1.97
73   74       17.84
74   73       35.70
40   108     262.63
41   107     232.07
42   106     200.44
43   105     173.08
44   104     144.52
45   103     120.42
46   102      95.00
47   101      73.96
48   100      51.45
49   99       33.52
50   98       13.96
51   97        0.02
52   96      -15.57
53   95      -26.60
54   94      -39.59
55   93      -47.88
56   92      -57.96
57   91      -63.23
58   90      -70.38
59   89      -72.65
60   88      -77.33
61   87      -76.96
62   86      -79.23
63   85      -76.23
64   84      -75.93
65   83      -70.33
66   82      -67.52
67   81      -58.29
68   80      -51.78
69   79      -39.96
70   78      -30.89
71   77      -16.31
72   76       -4.62
73   75       12.81
74   74       27.25
40   109     274.30
41   108     242.53
42   107     211.25
43   106     182.59
44   105     154.46
45   104     128.99
46   103     104.09
47   102      81.59
48   101      59.70
49   100      40.24
50   99       21.39
51   98        5.80
52   97       -9.04
53   96      -21.83
54   95      -34.07
55   94      -44.23
56   93      -53.49
57   92      -60.72
58   91      -66.97
59   90      -71.24
60   89      -74.49
61   88      -76.36
62   87      -77.14
63   86      -76.44
64   85      -74.79
65   84      -71.56
66   83      -67.34
67   82      -61.73
68   81      -53.80
69   80      -44.52
70   79      -33.99
71   78      -21.96
72   77       -8.77
73   76        5.89
74   75       21.91
40   110     284.79
41   109     253.33
42   108     220.84
43   107     192.57
44   106     163.15
45   105     138.15
46   104     111.87
47   103      89.94
48   102      66.60
49   101      47.79
50   100      27.42
51   99       12.54
52   98       -3.95
53   97      -15.96
54   96      -29.98
55   95      -39.37
56   94      -50.50
57   93      -56.88
58   92      -65.08
59   91      -68.43
60   90      -73.71
61   89      -74.04
62   88      -77.05
63   87      -75.02
64   86      -75.65
65   85      -71.03
66   84      -69.14
67   83      -61.98
68   82      -57.62
69   81      -46.90
70   80      -38.92
71   79      -25.44
72   78      -14.80
73   77        1.38
74   76       14.63
40   111     296.65
41   110     264.02
42   109     231.85
43   108     202.33
44   107     173.31
45   106     146.97
46   105     121.19
47   104      97.83
48   103      75.07
49   102      54.77
50   101      35.07
51   100      18.58
52   99        2.82
53   98      -10.84
54   97      -24.15
55   96      -35.36
56   95      -45.71
57   94      -54.00
58   93      -61.34
59   92      -66.69
60   91      -71.02
61   90      -73.43
62   89      -74.85
63   88      -74.90
64   87      -74.21
65   86      -71.91
66   85      -68.65
67   84      -63.86
68   83      -58.17
69   82      -50.93
70   81      -41.49
71   80      -30.65
72   79      -18.56
73   78       -4.98
74   77        9.81
75   76       25.91
40   112     307.30
41   111     275.02
42   110     241.67
43   109     212.52
44   108     182.24
45   107     156.35
46   106     129.22
47   105     106.40
48   104      82.22
49   103      62.54
50   102      41.35
51   101      25.54
52   100       8.17
53   99       -4.73
54   98      -19.72
55   97      -30.19
56   96      -42.37
57   95      -49.84
58   94      -59.10
59   93      -63.55
60   92      -69.89
61   91      -71.32
62   90      -74.74
63   89      -73.19
64   88      -74.75
65   87      -71.09
66   86      -70.12
67   85      -63.92
68   84      -60.48
69   83      -51.87
70   82      -45.88
71   81      -33.62
72   80      -24.16
73   79       -9.10
74   78        3.09
75   77       20.74
76   76       35.43
40   113     319.31
41   112     285.88
42   111     252.90
43   110     222.51
44   109     192.62
45   108     165.42
46   107     138.75
47   106     114.54
48   105      90.91
49   104      69.77
50   103      49.22
51   102      31.85
52   101      15.16
53   100       0.62
54   99      -13.57
55   98      -25.82
56   97      -37.24
57   96      -46.59
58   95      -55.02
59   94      -61.43
60   93      -66.86
61   92      -70.33
62   91      -72.76
63   90      -73.31
64   89      -73.00
65   88      -71.63
66   87      -69.31
67   86      -65.44
68   85      -60.59
69   84      -54.38
70   83      -47.02
71   82      -38.27
72   81      -27.38
73   80      -15.00
74   79       -1.33
75   78       13.68
76   77       29.94
40   114     330.01
41   113     297.01
42   112     262.89
43   111     232.91
44   110     201.78
45   109     175.00
46   108     147.02
47   107     123.32
48   106      98.30
49   105      77.75
50   104      55.74
51   103      39.02
52   102      20.77
53   101       6.95
54   100      -8.80
55   99      -20.33
56   98      -33.54
57   97      -42.10
58   96      -52.40
59   95      -57.96
60   94      -65.34
61   93      -67.87
62   92      -72.34
63   91      -71.88
64   90      -73.46
65   89      -70.53
66   88      -70.47
67   87      -65.21
68   86      -62.68
69   85      -54.91
70   84      -49.92
71   83      -39.76
72   82      -32.43
73   81      -18.61
74   80       -7.61
75   79        8.90
76   78       22.53
40   115     341.96
41   114     307.93
42   113     274.24
43   112     243.09
44   111     212.38
45   110     184.32
46   109     156.78
47   108     131.71
48   107     107.22
49   106      85.23
50   105      63.83
51   104      45.59
52   103      28.00
53   102      12.57
54   101      -2.31
55   100     -15.59
56   99      -28.06
57   98      -38.46
58   97      -47.97
59   96      -55.44
60   95      -61.95
61   94      -66.49
62   93      -70.00
63   92      -71.61
64   91      -72.16
65   90      -70.74
66   89      -69.35
67   88      -66.40
68   87      -62.48
69   86      -57.07
70   85      -50.74
71   84      -42.86
72   83      -34.10
73   82      -23.95
74   81      -11.49
75   80        2.31
76   79       17.44
77   78       34.02
40   116     352.62
41   115     319.00
42   114     284.27
43   113     253.59
44   112     221.73
45   111     194.12
46   110     165.29
47   109     140.71
48   108     114.85
49   107      93.43
50   106      70.60
51   105      52.98
52   104      33.87
53   103      19.13
54   102       2.78
55   101      -9.77
56   100     -23.99
57   99      -33.62
58   98      -44.97
59   97      -51.61
60   96      -60.04
61   95      -63.67
62   94      -69.18
63   93      -69.82
64   92      -72.44
65   91      -69.93
66   90      -70.21
67   89      -65.88
68   88      -64.24
69   87      -57.41
70   86      -53.31
71   85      -44.04
72   84      -37.55
73   83      -25.94
74   82      -17.22
75   81       -1.95
76   80       10.47
77   79       28.58
78   78       43.78
41   116     329.89
42   115     295.58
43   114     263.80
44   113     232.41
45   112     203.63
46   111     175.27
47   110     149.35
48   109     124.00
49   108     101.17
50   107      78.91
51   106      59.80
52   105      41.33
53   104      25.02
54   103       9.38
55   102      -4.66
56   101     -18.17
57   100     -29.60
58   99      -40.16
59   98      -48.69
60   97      -56.27
61   96      -61.87
62   95      -66.47
63   94      -69.14
64   93      -70.76
65   92      -70.55
66   91      -69.09
67   90      -66.73
68   89      -63.73
69   88      -59.22
70   87      -53.71
71   86      -46.79
72   85      -38.89
73   84      -29.59
74   83      -19.39
75   82       -7.98
76   81        5.92
77   80       21.28
78   79       38.01
41   117     341.04
42   116     305.59
43   115     274.25
44   114     241.76
45   113     213.49
46   112     183.98
47   111     158.57
48   110     131.87
49   109     109.58
50   108      85.92
51   107      67.42
52   106      47.45
53   105      31.81
54   104      14.60
55   103       1.50
56   102     -13.72
57   101     -24.41
58   100     -36.77
59   99      -44.49
60   98      -53.96
61   97      -58.68
62   96      -65.24
63   95      -66.97
64   94      -70.63
65   93      -69.38
66   92      -70.19
67   91      -65.93
68   90      -65.18
69   89      -59.27
70   88      -56.05
71   87      -47.57
72   86      -42.00
73   85      -31.27
74   84      -23.37
75   83      -10.45
76   82       -0.49
77   81       16.36
78   80       30.35
42   117     316.99
43   116     284.46
44   115     252.43
45   114     222.99
46   113     194.00
47   112     167.42
48   111     141.24
49   110     117.57
50   109      94.46
51   108      74.50
52   107      55.16
53   106      37.98
54   105      21.45
55   104       6.97
56   103      -7.55
57   102     -19.99
58   101     -31.60
59   100     -41.16
60   99      -49.81
61   98      -56.46
62   97      -62.13
63   96      -65.86
64   95      -68.56
65   94      -69.39
66   93      -69.16
67   92      -66.98
68   91      -64.37
69   90      -60.74
70   89      -56.14
71   88      -49.96
72   87      -43.04
73   86      -34.57
74   85      -25.22
75   84      -14.63
76   83       -3.14
77   82        9.63
78   81       25.12
79   80       41.93
42   118     327.11
43   117     295.02
44   116     261.77
45   115     232.82
46   114     202.66
47   113     176.63
48   112     149.32
49   111     126.19
50   110     101.71
51   109      82.34
52   108      61.54
53   107      45.00
54   106      26.93
55   105      13.20
56   104      -2.73
57   103     -14.45
58   102     -27.82
59   101     -36.60
60   100     -47.09
61   99      -52.89
62   98      -60.48
63   97      -63.30
64   96      -67.99
65   95      -67.84
66   94      -69.68
67   93      -66.43
68   92      -65.64
69   91      -60.51
70   90      -58.17
71   89      -50.55
72   88      -45.81
73   87      -35.95
74   86      -28.85
75   85      -16.79
76   84       -7.62
77   83        6.70
78   82       18.02
79   81       36.34
80   80       51.80
42   119     338.48
43   118     305.35
44   117     272.55
45   116     242.33
46   115     212.67
47   114     185.41
48   113     158.66
49   112     134.39
50   111     110.47
51   110      89.68
52   109      69.48
53   108      51.44
54   107      34.03
55   106      18.71
56   105       3.79
57   104      -9.64
58   103     -22.27
59   102     -32.85
60   101     -42.55
61   100     -50.24
62   99      -56.97
63   98      -61.75
64   97      -65.52
65   96      -67.40
66   95      -68.24
67   94      -67.26
68   93      -65.06
69   92      -61.65
70   91      -57.95
71   90      -52.61
72   89      -46.44
73   88      -38.90
74   87      -30.39
75   86      -20.62
76   85       -9.95
77   84        2.02
78   83       14.90
79   82       28.90
80   81       45.88
42   120     348.59
43   119     315.87
44   118     282.02
45   117     252.28
46   116     221.34
47   115     194.61
48   114     166.63
49   113     142.95
50   112     117.93
51   111      97.74
52   110      76.11
53   109      58.71
54   108      39.79
55   107      25.16
56   106       8.92
57   105      -3.75
58   104     -18.10
59   103     -27.91
60   102     -39.41
61   101     -46.28
62   100     -54.90
63   99      -58.79
64   98      -64.52
65   97      -65.45
66   96      -68.31
67   95      -66.31
68   94      -66.36
69   93      -61.34
70   92      -59.66
71   91      -52.91
72   90      -48.99
73   89      -39.89
74   88      -33.69
75   87      -22.48
76   86      -14.09
77   85       -0.60
78   84        9.95
79   83       25.54
80   82       38.07
43   120     326.21
44   119     292.78
45   118     261.94
46   117     231.47
47   116     203.43
48   115     175.97
49   114     151.01
50   113     126.59
51   112     105.31
52   111      84.30
53   110      65.42
54   109      47.14
55   108      30.96
56   107      15.43
57   106       1.44
58   105     -12.18
59   104     -23.76
60   103     -34.49
61   102     -43.20
62   101     -50.98
63   100     -56.80
64   99      -61.63
65   98      -64.56
66   97      -66.45
67   96      -66.52
68   95      -65.53
69   94      -62.63
70   93      -59.14
71   92      -54.63
72   91      -49.31
73   90      -42.50
74   89      -34.93
75   88      -25.96
76   87      -16.11
77   86       -4.93
78   85        7.15
79   84       20.38
80   83       34.52
81   82       49.84
43   121     336.83
44   120     302.26
45   119     271.87
46   118     240.29
47   117     212.75
48   116     183.97
49   115     159.57
50   114     133.86
51   113     113.29
52   112      91.16
53   111      72.93
54   110      53.18
55   109      37.66
56   108      20.57
57   107       7.68
58   106      -7.62
59   105     -18.45
60   104     -30.94
61   103     -38.85
62   102     -48.48
63   101     -53.44
64   100     -60.19
65   99      -62.19
66   98      -66.08
67   97      -65.15
68   96      -66.22
69   95      -62.25
70   94      -60.71
71   93      -54.65
72   92      -51.56
73   91      -43.30
74   90      -37.90
75   89      -27.54
76   88      -19.91
77   87       -7.26
78   86        2.54
79   85       17.32
80   84       29.11
81   83       46.07
82   82       59.90
43   122     347.30
44   121     313.14
